Name	TP	FP	TN	FN	estimatedFDR
comp_p251scadd11_052_pyprophet_00041	1940	4	800	2206	0.0041
comp_p251scadd11_052_pyprophet_015000000000000002	3329	484	549	588	0.15000000000000002
comp_p251scadd11_052_pyprophet_00081	2417	15	795	1723	0.0081
comp_p251scadd11_052_pyprophet_018000000000000002	3368	618	468	496	0.18000000000000002
comp_p251scadd11_052_pyprophet_00091	2478	18	795	1659	0.0091
comp_p251scadd11_052_pyprophet_00051	2136	8	799	2007	0.0051
comp_p251scadd11_052_pyprophet_001	2523	19	794	1614	0.01
comp_p251scadd11_052_pyprophet_014	3306	450	568	626	0.14
comp_p251scadd11_052_pyprophet_028	3446	1059	222	223	0.28
comp_p251scadd11_052_pyprophet_006999999999999999	3157	199	713	881	0.06999999999999999
comp_p251scadd11_052_pyprophet_00021	1473	1	800	2676	0.0021
comp_p251scadd11_052_pyprophet_002	2764	36	788	1362	0.02
comp_p251scadd11_052_pyprophet_016	3339	523	523	565	0.16
comp_p251scadd11_052_pyprophet_017	3354	560	502	534	0.17
comp_p251scadd11_052_pyprophet_003	2905	64	778	1203	0.03
comp_p251scadd11_052_pyprophet_013	3289	411	590	660	0.13
comp_p251scadd11_052_pyprophet_012	3270	376	608	696	0.12
comp_p251scadd11_052_pyprophet_00031	1826	3	800	2321	0.0031
comp_p251scadd11_052_pyprophet_004	3003	95	762	1090	0.04
comp_p251scadd11_052_pyprophet_005	3071	125	746	1008	0.05
comp_p251scadd11_052_pyprophet_011	3253	342	625	730	0.11
comp_p251scadd11_052_pyprophet_008	3183	234	694	839	0.08
comp_p251scadd11_052_pyprophet_009	3208	281	664	797	0.09
comp_p251scadd11_052_pyprophet_023	3411	832	345	362	0.23
comp_p251scadd11_052_pyprophet_022	3406	795	368	381	0.22
comp_p251scadd11_052_pyprophet_009999999999999999	3235	312	644	759	0.09999999999999999
comp_p251scadd11_052_pyprophet_00001	0	0	801	4149	0.0001
comp_p251scadd11_052_pyprophet_00011	1134	1	800	3015	0.0011
comp_p251scadd11_052_pyprophet_026	3431	954	280	285	0.26
comp_p251scadd11_052_pyprophet_027	3439	1004	252	255	0.27
comp_p251scadd11_052_pyprophet_021000000000000002	3399	749	394	408	0.21000000000000002
comp_p251scadd11_052_pyprophet_0060000000000000005	3117	168	725	940	0.060000000000000005
comp_p251scadd11_052_pyprophet_025	3424	920	300	306	0.25
comp_p251scadd11_052_pyprophet_019	3375	676	434	465	0.19
comp_p251scadd11_052_pyprophet_029000000000000004	3449	1109	195	197	0.29000000000000004
comp_p251scadd11_052_pyprophet_00061	2323	13	795	1819	0.0061
comp_p251scadd11_052_pyprophet_024000000000000002	3418	888	312	332	0.24000000000000002
comp_p251scadd11_052_pyprophet_02	3388	708	416	438	0.2
comp_p251scadd11_052_pyprophet_03	3458	1170	162	160	0.3
comp_p251scadd11_052_pyprophet_00071	2390	14	795	1751	0.0071
