Peptide,Protein,Replicate,PrecursorMz,PrecursorCharge,ProductMz,ProductCharge,FragmentIon,RetentionTime,Area,Background,PeakRank
Fuberidazole,molecules1,PestMix1_8Step10Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step10Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step10Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step1Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9638500213623047,11155910,0,1
Fuberidazole,molecules1,PestMix1_8Step1Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9501333236694336,10370309,0,1
Fuberidazole,molecules1,PestMix1_8Step1Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9638500213623047,10875148,75626.2734375,1
Fuberidazole,molecules1,PestMix1_8Step2Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9638333320617676,2031257,0,1
Fuberidazole,molecules1,PestMix1_8Step2Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775500297546387,2297178.25,815.42449951171875,1
Fuberidazole,molecules1,PestMix1_8Step2Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9638500213623047,2547486.75,1345.4886474609375,1
Fuberidazole,molecules1,PestMix1_8Step3Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775333404541016,632900.3125,720.7974853515625,1
Fuberidazole,molecules1,PestMix1_8Step3Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9638500213623047,557601.1875,876.29107666015625,1
Fuberidazole,molecules1,PestMix1_8Step3Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9638500213623047,864878.5,1593.5604248046875,1
Fuberidazole,molecules1,PestMix1_8Step4Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9912500381469727,301865.1875,575.9039306640625,1
Fuberidazole,molecules1,PestMix1_8Step4Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775333404541016,232269.34375,819.7535400390625,1
Fuberidazole,molecules1,PestMix1_8Step4Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9638500213623047,250738.828125,0,1
Fuberidazole,molecules1,PestMix1_8Step5Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9877834320068359,76754.8203125,402.63311767578125,1
Fuberidazole,molecules1,PestMix1_8Step5Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775500297546387,75841.765625,0,1
Fuberidazole,molecules1,PestMix1_8Step5Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9741001129150391,131565.15625,1117.6168212890625,1
Fuberidazole,molecules1,PestMix1_8Step6Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775500297546387,36679.85546875,0,1
Fuberidazole,molecules1,PestMix1_8Step6Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775500297546387,32032.615234375,32.692417144775391,1
Fuberidazole,molecules1,PestMix1_8Step6Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775500297546387,35708.76171875,197.96649169921875,1
Fuberidazole,molecules1,PestMix1_8Step7Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9912333488464355,13183.4111328125,0,1
Fuberidazole,molecules1,PestMix1_8Step7Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775500297546387,12299.3095703125,575.9039306640625,1
Fuberidazole,molecules1,PestMix1_8Step7Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9501500129699707,12075.9267578125,474.0452880859375,1
Fuberidazole,molecules1,PestMix1_8Step8Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,4.0049166679382324,3795.3203125,29.144098281860352,1
Fuberidazole,molecules1,PestMix1_8Step8Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775333404541016,4451.6748046875,367.02484130859375,1
Fuberidazole,molecules1,PestMix1_8Step8Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,3.9775333404541016,5012.666015625,87.660240173339844,1
Fuberidazole,molecules1,PestMix1_8Step9Plasma1SWATH50-80,185.070939,1,185.070939,1,precursor,3.9912500381469727,1248.944580078125,0,1
Fuberidazole,molecules1,PestMix1_8Step9Plasma2SWATH50-80,185.070939,1,185.070939,1,precursor,#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step9Plasma3SWATH50-80,185.070939,1,185.070939,1,precursor,#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step10Plasma1SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step10Plasma2SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step10Plasma3SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],#N/A,#N/A,#N/A,#N/A
Fuberidazole,molecules1,PestMix1_8Step1Plasma1SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9775500297546387,1235821,0,2
Fuberidazole,molecules1,PestMix1_8Step1Plasma2SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9638333320617676,1109558.125,688.73956298828125,2
Fuberidazole,molecules1,PestMix1_8Step1Plasma3SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9638500213623047,1216345,9400.2373046875,2
Fuberidazole,molecules1,PestMix1_8Step2Plasma1SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9638333320617676,232613.265625,0,2
Fuberidazole,molecules1,PestMix1_8Step2Plasma2SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9775500297546387,260282.40625,0,2
Fuberidazole,molecules1,PestMix1_8Step2Plasma3SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9638500213623047,283088.6875,672.74432373046875,2
Fuberidazole,molecules1,PestMix1_8Step3Plasma1SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9775333404541016,74203.2109375,0,2
Fuberidazole,molecules1,PestMix1_8Step3Plasma2SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9638500213623047,64117.1875,766.69708251953125,2
Fuberidazole,molecules1,PestMix1_8Step3Plasma3SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9638500213623047,101898.1484375,0,2
Fuberidazole,molecules1,PestMix1_8Step4Plasma1SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9912500381469727,37080.265625,0,2
Fuberidazole,molecules1,PestMix1_8Step4Plasma2SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9775333404541016,27850.443359375,0,2
Fuberidazole,molecules1,PestMix1_8Step4Plasma3SWATH50-80,185.070939,1,186.073964,1,precursor [M+1],3.9638500213623047,31437.365234375,0,2
