compound name,molecular formular,last SN over threshold,last dilution over threshold,LOD [fmol/µl]
Acephate,C4H10NO3PS,15,3,342
Sulfadiazole,C7H12N4O3S2,15,7,237
Carboxin,C12H13NO2S,11,7,266
Flusilazole,C16H15F2N3Si,20,5,198
Phosmet,C11H12NO4PS2,44,4,197
Thifensulfurson methyl,C12H13N5O6S2,23,6,161
Desmedipham,C16H16N2O4,14,7,208
Malaoxon,C10H19O7PS,17,6,199
Metribuzin,C8H14N4OS,14,6,292
Nitenpyram,C11H15ClN4O2,14,4,231
Dimethomorph,C21H22ClNO4,14,6,161
Fenamiphos,C13H22NO3PS,22,2,206
Metsulfuron-methyl,C14H15N5O6S,13,6,164
Trietazin,C9H16ClN5,19,7,273
Halofenozide,C18H19ClN2O2,11,5,189
Myclobutanil,C15H17ClN4,29,5,217
Halosulfuron-methyl,C13H15ClN6O7S,15,4,144
Hexaconazole,C14H17Cl2N3O,20,7,200
Iprovalicarb,C18H28N2O3,14,6,195
Triasulfuron,C14H16ClN5O5S,13,7,156
Azoxystrobin,C22H17N3O5,24,6,155
Bifenazate,C17H20N2O3,19,3,208
Fluopicolide,C14H8Cl3F3N2O,21,8,164
Metconazole,C17H22ClN3O,24,6,196
Rimsulfuron,C14H17N5O7S2,13,6,145
Zoxamide,C14H16Cl3NO2,15,6,187
Bifenazate,C17H20N2O3,79,9,208
Clethodim,C17H26ClNO3S,14,2,174
Isoprothiolane,C12H18O4S2,27,8,215
Methoprotryne,C11H21N5OS,15,7,231
Fenamidone,C17H17N3OS,12,5,201
Fluoxastrobin,C21H16ClFN4O5,12,8,136
Isoprothiolane,C12H18O4S2,23,7,215
Isoxaflutole,C15H12F3NO4S,12,3,174
Propioconazole,C15H17Cl2N3O2,11,7,183
Secbumeton,C10H19N5O,11,7,278
Amidosulfuron,C9H15N5O7S2,12,7,169
Bispyribac sodium salt,C19H18N4O8,12,6,138
Flufenacet,C14H13F4N3O2S,11,8,172
Fluoxastrobin,C21H16ClFN4O5,30,1,136
Triadimefon,C14H16ClN3O2,17,5,213
