Protein	ctrl_CS52684_pos_SWATH-CS52684	ctrl_CS53088_pos_SWATH-CS53088	ctrl_CS53236_pos_SWATH-CS53236	ctrl_CS53827_pos_SWATH-CS53827	ctrl_CS53970_pos_SWATH-CS53970	ctrl_CS55606_pos_SWATH-CS55606	ctrl_CS55847_pos_SWATH-CS55847	ctrl_CS56148_pos_SWATH-CS56148	ctrl_CS56182_pos_SWATH-CS56182	ctrl_CS56422_pos_SWATH-CS56422	ctrl_CS56891_pos_SWATH-CS56891	ctrl_CS57315_pos_SWATH-CS57315_pos_SWATH	ctrl_CS58504_pos_SWATH-CS58504	ctrl_CS60089_pos_SWATH_2-CS60089_pos_SWATH	ctrl_CS60106_pos_SWATH-CS60106_pos_SWATH	ctrl_CS60365_pos_SWATH-CS60365	ctrl_CS60557_pos_SWATH-CS60557	ctrl_CS60976_pos_SWATH-CS60976	ctrl_CS61323_pos_SWATH-CS61323	ctrl_CS61791_pos_SWATH-CS61791	PCV_PH697021_pos_SWATH-PH697021	PCV_PH697025_pos_SWATH-PH697025	PCV_PH697026_pos_SWATH-PH697026	PCV_PH697043_pos_SWATH-PH697043	PCV_PH697053_pos_SWATH_2-PH697053	PCV_PH697071_pos_SWATH-PH697071	CNV_PH697072_pos_SWATH-PH697072	CNV_PH697073_pos_SWATH-PH697073	PCV_PH697085_pos_SWATH-PH697085_pos_SWATH	CNV_PH697097_pos_SWATH-PH697097	PCV_PH697098_pos_SWATH-PH697098	PCV_PH697111_pos_SWATH-PH697111	PCV_PH697115_pos_SWATH-PH697115_pos_SWATH	CNV_PH697119_pos_SWATH_2-PH697119	CNV_PH697122_pos_SWATH-PH697122	CNV_PH697129_pos_SWATH-PH697129	CNV_PH697140_pos_SWATH-PH697140_pos_SWATH	PCV_PH697141_pos_SWATH-PH697141	CNV_PH697146_pos_SWATH-PH697146_pos_SWATH	PCV_PH697154_pos_SWATH-PH697154_pos_SWATH	CNV_PH697159_pos_SWATH-PH697159	PCV_PH697165_pos_SWATH-PH697165_pos_SWATH	CNV_PH697172_pos_SWATH-PH697172	PCV_PH697182_pos_SWATH-PH697182	CNV_PH697184_pos_SWATH_2-PH697184	PCV_PH697186_pos_SWATH-PH697186	PCV_PH697187_pos_SWATH-PH697187	PCV_PH697206_pos_SWATH-PH697206_pos_SWATH	CNV_PH697211_pos_SWATH-PH697211	CNV_PH697215_pos_SWATH-PH697215	CNV_PH697217_pos_SWATH-PH697217	PCV_PH697247_pos_SWATH-PH697247_pos_SWATH	CNV_PH697253_pos_SWATH-PH697253	PCV_PH697257_pos_SWATH-PH697257	CNV_PH697272_pos_SWATH-PH697272	PCV_PH697285_pos_SWATH-PH697285	CNV_PH697287_pos_SWATH-PH697287_pos_SWATH	CNV_PH697289_pos_SWATH-PH697289	CNV_PH697291_pos_SWATH-PH697291	CNV_PH697338_pos_SWATH_2-PH697338	RT
0_C10H13N5O3^M+Na;C15H15NO2S^M+H;C9H17NO7^M+Na	11193.9	4775.3	4925.86	5084.6	5323.79	4945.92	9064.48	5876.33	9478.88	4368.09	7162.98	4533.31	5808.11	7647.92	9202.9	7581.6	10955.2	5727.28	4853.73	6363.74	11304.4	12532.6	7795.57	7671.92	1676.01	13345.5	10101.1	20172.0	9076.99	9836.03	4188.43	8420.95	7057.09	21764.7	6612.0	7857.83	8127.56	4125.38	427.139	6283.97	7033.42	9303.05	5265.74	7933.79	3500.85	7794.87	9634.29	13422.9	14202.8	13627.5	5420.05	13772.0	11493.5	20330.1	21215.7	12822.3	9506.1	10401.8	10655.5	5289.48	47.6421875
100_C12H21NO6^M+H	123049.0	147712.0	48099.7	143347.0	94870.9	65220.9	36101.2	26941.8	220980.0	100723.0	96080.5	98958.6	139880.0	135492.0	101003.0	2266.19	95501.7	154536.0	169380.0	96960.9	279573.0	115840.0	174427.0	170843.0	36712.6	196484.0	113845.0	195066.0	59676.3	123960.0	184451.0	66919.9	102521.0	341416.0	30643.9	35514.2	176116.0	86679.6	49370.9	128557.0	95148.8	189266.0	177290.0	184780.0	91079.7	34260.3	157164.0	221455.0	38503.4	124199.0	91217.7	98024.5	63466.7	280597.0	102990.0	158208.0	58366.2	157246.0	31373.2	107359.0	119.042546875
102_C12H22O2Si2^M+H;C13H18O5^M+H	89671.4	29161.6	31772.4	17090.7	10473.0	54159.0	6192.68	18500.5	30077.0	46008.0	31987.5	22128.4	48834.5	16561.2	14824.7	9031.06	29175.9	31497.5	155423.0	3621.32	64607.3	31524.9	10842.0	11663.8	18740.0	122810.0	79415.3	12869.3	14430.0	9682.14	10129.0	13777.6	13901.4	34342.0	80340.0	33909.5	45409.4	37624.5	25336.0	69553.2	38206.6	77657.4	47577.9	115246.0	18520.1	20485.8	58598.0	40764.3	8959.21	57067.5	23355.4	13811.8	19717.9	20049.3	12939.2	10389.1	17397.1	13500.7	16372.7	66132.0	692.312625
104_C12H22O2^M+H	10447.2	3848.17	3280.95	3633.88	242.763	6574.9	5579.23	8844.35	382.98400000000004	6448.66	377.083	1022.6	6426.15	244.252	9328.24	5286.68	1312.18	483.74699999999996	993.445	5151.0	3405.83	8336.45	3123.84	709.3910000000001	4723.71	7670.62	3828.21	4999.93	6404.86	276.92	4850.51	6841.03	5904.51	5736.62	7520.89	6927.81	5221.91	463.001	13369.1	1157.89	6491.62	8683.49	6252.65	8718.17	833.6010000000001	5371.63	4367.44	6957.38	5722.74	7126.11	5655.24	8071.44	4816.71	6371.85	707.819	6954.0	11114.0	4505.97	5661.59	6147.4	991.583703125
106_C12H22O5^M+Na;C14H20O5^M+H	721123.0	247205.0	280943.0	361049.0	197433.0	312246.0	169618.0	305940.0	315393.0	584160.0	205538.0	365934.0	357408.0	179388.0	228115.0	152095.0	291875.0	341991.0	593570.0	154172.0	606972.0	644157.0	96530.9	187613.0	137940.0	490886.0	637716.0	179864.0	322903.0	200962.0	154660.0	348188.0	301023.0	276889.0	671330.0	447789.0	386092.0	348022.0	353141.0	311513.0	302918.0	558045.0	683972.0	726013.0	269766.0	421020.0	459239.0	518636.0	203886.0	804257.0	301054.0	499564.0	320238.0	193918.0	164560.0	215456.0	351000.0	360806.0	477391.0	308531.0	819.408875
108_C12H23NO4^M+H	30878.2	22139.6	55875.2	18408.8	13466.5	15561.5	36086.4	71548.8	48436.1	29875.0	17916.0	43766.0	56408.5	20625.4	21510.0	17248.9	47920.6	46845.9	17950.4	14407.9	78272.6	33718.0	11026.6	44395.3	32234.5	23595.9	38262.9	39380.9	35560.6	13957.7	32008.4	66481.6	18723.8	27132.2	54362.4	37044.2	59528.2	29697.2	35273.0	27483.9	228968.0	81686.9	24336.9	88349.3	12701.1	17808.0	34093.4	13272.1	21468.2	64114.0	18245.6	54904.0	33105.0	27253.5	45389.2	64873.7	45933.5	27076.9	39127.4	28387.5	348.39639062500004
10_C10H18N2O5^M+H;C13H20O3^M+Na	2375.77	3899.91	2896.31	4231.6	4615.67	2170.33	4692.36	6116.3	6717.72	4690.0	5564.46	2299.34	6230.48	1836.88	5423.15	3722.77	2504.7	5752.01	4420.15	2917.35	14377.8	5322.64	7329.53	18123.9	12174.6	6722.44	8622.79	7431.71	6084.81	2109.51	8466.77	11986.6	1207.29	9917.97	9198.56	8243.76	2036.98	3999.76	5306.65	3929.53	3436.41	8336.08	3962.26	8582.06	6765.5	11389.5	2679.54	5333.37	4277.22	4163.3	4205.1	12165.6	8916.51	6368.61	4757.93	17836.7	22285.3	25752.8	19899.5	7981.82	148.378109375
110_C12H23NO5^M+H	19442.5	5442.84	5521.32	14670.5	5787.31	6493.81	9033.02	8519.32	11503.5	8200.39	445.30199999999996	13971.5	18181.4	7063.84	9133.87	5638.29	7058.91	8019.71	7982.32	5498.53	8123.1	10863.4	7166.93	6587.03	5712.56	12649.6	18710.9	7659.25	11472.8	9718.57	10856.6	10107.8	15797.6	16140.4	29491.1	7067.23	11748.5	6661.67	20891.2	16003.2	5960.97	16149.5	18078.6	17724.4	7435.05	12521.2	6697.94	8168.02	9543.72	12656.5	11637.5	10038.8	13799.2	242.6	11861.5	8017.19	8702.8	13031.7	9172.98	19010.4	129.19215625
112_C12H24N2O3^M+Na;C19H22O^M+H;C14H22N2O3^M+H;C14H28O2^M+K;C17H24O^M+Na	199114.0	142.24	75.3299	312.95599999999996	56.8862	56.9009	965.2560000000001	23.4591	1417.1	85.2978	56.9289	56.924	458526.0	56.896	56.9009	199707.0	332917.0	160.50799999999998	85.344	280.003063201904	56.000640869140604	2088.94897460938	257568.0	113.764	56.8219	308430.0	132719.0	256311.0	38.477	113.726	285.159	360064.0	56.896	56.8302	85.344	137.2	199.108	5.012	1330.75	5.02189	56.9191	85.2418	61.8701	113.792	112.00128173828101	383926.0	91.4477	392917.0	328350.0	113.708	436388.0	879.3480000000001	33.5061	180.702	85.4	952.0112266540531	90.2769	90.3511	708.7769999999999	170.688	266.42046875
114_C12H24N2O7^M+K;C15H17F3N2O4^M+H;C22H18O4^M+H;C17H24O5^M+K;C13H25O7P^M+Na;C17H18N2O6^M+H;C20H20O4^M+Na	1892.8	2627.41	2374.47	3448.68	3034.33	2346.98	2810.31	5243.02	2233.81	7298.03	3025.14	3068.1	3065.91	3543.11	1180.88	1583.49	4555.75	1951.78	2206.12	3972.49	10912.7	7365.92	4681.22	5418.63	7306.39	5535.28	5790.39	11912.7	6123.5	8034.53	5531.63	5581.75	4586.33	3225.86	9445.96	5202.55	6166.01	8275.47	7087.78	12824.1	6823.49	6039.15	6277.5	5962.63	4427.2	1180.11	3041.72	3656.52	6909.38	6225.67	10095.3	4796.84	1487.52	3314.76	5403.4	6825.8	5493.68	18760.9	5983.69	2800.16	435.29193749999996
116_C12H25N3O3^M+K;C15H21N3O2^M+Na;C10H21N5O4^M+Na	14236.1	12557.3	5450.09	8445.02	7633.1	4747.14	566.37	6695.93	10538.2	7871.61	880.163	1243.27	9609.51	7317.48	15655.1	6876.03	12613.3	1723.35	11652.4	8985.93	7017.6	12610.7	24853.2	453.705	6611.46	8261.49	7088.25	25546.9	5982.63	764.043	18538.4	13389.4	7615.77	30902.1	16446.0	16652.2	14076.1	20130.8	12548.7	6432.05	8621.68	17054.1	10810.5	21984.1	28047.8	8632.41	9141.3	7346.89	6570.79	11244.3	8025.81	16695.4	8755.58	10441.9	28297.9	23793.3	8631.63	6532.27	8595.95	6007.45	55.7330296875
118_C13H16N2^M+K;C10H18NO3^M+K;C12H14O5^M+H	925709.0	691069.0	343766.0	224026.0	387326.0	648190.0	361320.0	259975.0	372392.0	460279.0	236458.0	408394.0	440432.0	253169.0	413892.0	175170.0	602178.0	568430.0	611745.0	301696.0	714146.0	558162.0	127879.0	475244.0	403043.0	582312.0	710866.0	277743.0	492976.0	532211.0	360307.0	387260.0	482343.0	607961.0	406919.0	651781.0	481701.0	848850.0	522075.0	430016.0	711218.0	764549.0	790404.0	715453.0	286109.0	311583.0	416680.0	806636.0	557162.0	498520.0	423275.0	675581.0	285093.0	476924.0	21170.4	476179.0	943426.0	277194.0	353074.0	442413.0	553.05146875
120_C13H16O13S^M+H;C15H18O11^M+K;C19H18O6S^M+K;C11H19O13P^M+Na;C15H25O4Cl3^M+K;C22H14O6^M+K	673.383	6844.7	3863.25	9123.1	27644.4	3555.05	3058.63	4745.94	44377.6	693.373	56.896	20931.3	15241.1	9170.56	5134.85	31603.0	1330.01	21429.0	6165.57	1874.52	1906.21	30735.1	4214.71	32479.6	244.96099999999998	774.35	5874.42	2815.58	27818.0	10565.7	7466.44	528.939	31614.4	6225.53	66071.7	51404.8	0.0	275.815	6293.36	3679.82	4893.6	18578.2	3262.53	16909.3	1404.45	7275.1	9461.94	1373.24	14329.7	39208.5	1159.44	555.822	1056.07	21933.3	56.896	11943.6	11763.8	398.05	1778.31	2545.57	384.49985937499997
122_C13H17NS^M+H;C8H15N5O^M+Na;C10H13N5O^M+H;C9H17NO5^M+H	5082.46	1920.35	3889.76	4598.25	3593.95	8049.65	4597.35	4879.19	6982.83	5124.95	3805.3	4668.91	5819.93	4409.37	4144.3	17391.8	2963.46	16701.6	4339.03	13499.4	6829.55	7052.02	5438.35	3904.39	15496.2	9470.56	16011.5	10481.8	20878.6	2886.27	10075.1	9775.38	5185.51	6456.52	5076.43	7428.05	22385.9	4486.8	21440.2	7318.47	7526.75	6929.32	8356.34	4860.32	6118.65	1768.32	7031.18	3749.71	3972.58	11922.8	4342.01	7988.62	4989.18	3727.04	7381.85	22561.1	5120.32	6485.45	16293.2	7194.14	248.4165625
124_C13H22O4^M+Na;C15H20O4^M+H	7988.03	8623.75	5564.88	22535.1	12793.6	18854.5	24593.1	15614.1	14989.8	16709.4	14325.7	15497.1	11816.1	19835.3	19226.1	30940.9	19710.0	4696.93	10867.4	16944.0	8512.41	6568.38	880.079	8236.83	12357.5	766.203	15046.6	4935.5	9672.07	8546.58	12826.5	16402.9	7442.39	10553.0	33904.4	23242.8	15232.3	15115.1	748.7180000000001	1659.27	18810.5	17445.5	8827.03	19685.3	9781.52	7325.32	16172.1	6830.17	1560.31	15238.6	10613.6	7174.81	19643.4	512.008	12886.0	12582.3	8776.23	397.936	23974.6	55663.6	718.983890625
126_C13H23NO6^M+H	5436.68	2663.41	3772.26	3333.81	1908.96	4535.75	3174.31	4210.22	2914.68	10481.3	3032.0	2219.92	12342.2	2657.45	3251.97	29531.3	11786.2	7498.27	6537.08	2859.29	7293.16	3078.06	1761.9	5496.61	4877.94	8145.24	3489.11	11462.3	2008.67	4826.09	6063.05	5277.65	2101.54	2505.29	5505.77	12370.6	3621.19	2490.92	14409.7	3516.22	1249.63	6726.7	6235.51	4570.87	3314.18	5654.95	5638.32	1533.58	10571.1	16639.2	6072.74	1353.97	2210.55	2130.56	5344.1	368.95300000000003	460.37	7246.35	7363.96	7256.44	207.244453125
