Protein	Peptide	ctrl_CS52684_pos_SWATH	ctrl_CS53088_pos_SWATH	ctrl_CS53236_pos_SWATH	ctrl_CS53827_pos_SWATH	ctrl_CS53970_pos_SWATH	ctrl_CS55606_pos_SWATH	ctrl_CS55847_pos_SWATH	ctrl_CS56148_pos_SWATH	ctrl_CS56182_pos_SWATH	ctrl_CS56422_pos_SWATH	ctrl_CS56891_pos_SWATH	ctrl_CS57315_pos_SWATH-CS57315_pos_SWATH	ctrl_CS58504_pos_SWATH	ctrl_CS60089_pos_SWATH_2-CS60089_pos_SWATH	ctrl_CS60106_pos_SWATH-CS60106_pos_SWATH	ctrl_CS60365_pos_SWATH	ctrl_CS60557_pos_SWATH	ctrl_CS60976_pos_SWATH	ctrl_CS61323_pos_SWATH	ctrl_CS61791_pos_SWATH	PCV_PH697021_pos_SWATH	PCV_PH697025_pos_SWATH	PCV_PH697026_pos_SWATH	PCV_PH697043_pos_SWATH	PCV_PH697053_pos_SWATH_2	PCV_PH697071_pos_SWATH	CNV_PH697072_pos_SWATH	CNV_PH697073_pos_SWATH	PCV_PH697085_pos_SWATH-PH697085_pos_SWATH	CNV_PH697097_pos_SWATH	PCV_PH697098_pos_SWATH	PCV_PH697111_pos_SWATH	PCV_PH697115_pos_SWATH-PH697115_pos_SWATH	CNV_PH697119_pos_SWATH_2	CNV_PH697122_pos_SWATH	CNV_PH697129_pos_SWATH	CNV_PH697140_pos_SWATH-PH697140_pos_SWATH	PCV_PH697141_pos_SWATH	CNV_PH697146_pos_SWATH-PH697146_pos_SWATH	PCV_PH697154_pos_SWATH-PH697154_pos_SWATH	CNV_PH697159_pos_SWATH	PCV_PH697165_pos_SWATH-PH697165_pos_SWATH	CNV_PH697172_pos_SWATH	PCV_PH697182_pos_SWATH	CNV_PH697184_pos_SWATH_2	PCV_PH697186_pos_SWATH	PCV_PH697187_pos_SWATH	PCV_PH697206_pos_SWATH-PH697206_pos_SWATH	CNV_PH697211_pos_SWATH	CNV_PH697215_pos_SWATH	CNV_PH697217_pos_SWATH	PCV_PH697247_pos_SWATH-PH697247_pos_SWATH	CNV_PH697253_pos_SWATH	PCV_PH697257_pos_SWATH	CNV_PH697272_pos_SWATH	PCV_PH697285_pos_SWATH	CNV_PH697287_pos_SWATH-PH697287_pos_SWATH	CNV_PH697289_pos_SWATH	CNV_PH697291_pos_SWATH	CNV_PH697338_pos_SWATH_2	RT
C27H45O10P^M+Na;C33H34N4O6^M+H	297.122573852539	0	0.0	1062.8906	0.0	4448.2773	0.0	0.0	1823.6343	0.0	5800.236999999999	1729.6719	1313.9288	1461.4751	0.0	0.0	0.0	2025.3593	0.0	0.0	1440.4158	0.0	5189.2344	699.14764	0.0	8960.948	8405.487	5552.9854	470.5169	4227.2773	2496.7412	0.0	4459.8774	1800.3937	745.4051	4729.5	1621.0709	869.3309300000001	0.0	2819.0947	0.0	0.0	0.0	3228.2573	4972.741	0.0	0.0	0.0	2224.7954	0.0	2818.5984	0.0	1202.6549	0.0	3035.2085	1259.5128	0.0	0.0	0.0	0.0	1203.1426	787.5160000000001
C27H45O10P^M+Na;C33H34N4O6^M+H	299.13818359375	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1010.55853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567.19	1420.1273	1317.7627	82.08547	1211.9877	0.0	0.0	0.0	1131.8519	0.0	955.45337	0.0	0.0	0.0	358.14532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	413.60205	0.0	0.0	0.0	0.0	0.0	0.0	787.5160000000001
C27H45O10P^M+Na;C33H34N4O6^M+H	341.304229736328	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.74536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.74704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	787.5160000000001
C27H45O10P^M+Na;C33H34N4O6^M+H	583.256256103516	0	0.0	9328.47	0.0	30089.647999999997	0.0	0.0	11516.267	0.0	33807.543	10877.502	5672.849	8717.077	0.0	0.0	0.0	12006.362	0.0	0.0	8562.729	0.0	32391.799	3707.4075	0.0	60073.77	60650.29	32623.357000000004	2661.8379999999997	27895.047000000002	16431.06	0.0	25832.408	10016.618	3154.0786	30038.56	11206.603000000001	5973.3022	0.0	15575.941	0.0	0.0	0.0	20076.08	30177.83	0.0	0.0	0.0	12694.396999999999	0.0	18969.91	8140.6753	6347.227	0.0	19354.617	7331.4395	0.0	0.0	0.0	0.0	7937.0728	787.5160000000001
C35H63NO5^M+Na;C36H67NO3^M+K;C34H65NO5S^M+H	217.179016113281	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	465.86435	0.0	0.0	0.0	0.0	712.2217400000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400.81256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0865
C35H63NO5^M+Na;C36H67NO3^M+K;C34H65NO5S^M+H	219.156364440918	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.39282000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.54166000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0865
C35H63NO5^M+Na;C36H67NO3^M+K;C34H65NO5S^M+H	231.195098876953	0	0.0	0.0	0.0	0.0	210.1547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.60343999999998	0.0	0.0	0.0	0.0	352.12085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.81638	0.0	156.356	179.8714	0.0	173.96507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0865
C35H63NO5^M+Na;C36H67NO3^M+K;C34H65NO5S^M+H	275.22076416015597	0	0.0	0.0	0.0	0.0	131.22708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.67471	0.0	0.0	0.0	0.0	163.79733000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0865
C35H63NO5^M+Na;C36H67NO3^M+K;C34H65NO5S^M+H	583.441955566406	0	0.0	0.0	0.0	0.0	390.99698	0.0	0.0	0.0	0.0	0.0	0.0	419.3144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	772.09644	0.0	0.0	0.0	0.0	1036.3394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466.73795	0.0	400.20895	538.2127	0.0	728.60016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0865
C35H63NO5^M+Na;C36H67NO3^M+K;C34H65NO5S^M+H	600.3939208984381	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.20789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.85745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0865
C24H47NO10S^M+K;C26H45NO9S2^M+H	235.107330322266	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	489.47867	0.0	0.0	0.0	0.0	0.0	0.0	519.764
C24H47NO10S^M+K;C26H45NO9S2^M+H	256.093292236328	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.64113	0.0	0.0	0.0	0.0	0.0	0.0	519.764
C24H47NO10S^M+K;C26H45NO9S2^M+H	263.10316467285196	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	544.605	0.0	0.0	0.0	0.0	0.0	0.0	519.764
C24H47NO10S^M+K;C26H45NO9S2^M+H	279.17059326171903	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1315.631	0.0	0.0	0.0	0.0	0.0	0.0	519.764
