Protein	ctrl_CS52684_pos_SWATH-CS52684	ctrl_CS53088_pos_SWATH-CS53088	ctrl_CS53236_pos_SWATH-CS53236	ctrl_CS53827_pos_SWATH-CS53827	ctrl_CS53970_pos_SWATH-CS53970	ctrl_CS55606_pos_SWATH-CS55606	ctrl_CS55847_pos_SWATH-CS55847	ctrl_CS56148_pos_SWATH-CS56148	ctrl_CS56182_pos_SWATH-CS56182	ctrl_CS56422_pos_SWATH-CS56422	ctrl_CS56891_pos_SWATH-CS56891	ctrl_CS57315_pos_SWATH-CS57315_pos_SWATH	ctrl_CS58504_pos_SWATH-CS58504	ctrl_CS60089_pos_SWATH_2-CS60089_pos_SWATH	ctrl_CS60106_pos_SWATH-CS60106_pos_SWATH	ctrl_CS60365_pos_SWATH-CS60365	ctrl_CS60557_pos_SWATH-CS60557	ctrl_CS60976_pos_SWATH-CS60976	ctrl_CS61323_pos_SWATH-CS61323	ctrl_CS61791_pos_SWATH-CS61791	PCV_PH697021_pos_SWATH-PH697021	PCV_PH697025_pos_SWATH-PH697025	PCV_PH697026_pos_SWATH-PH697026	PCV_PH697043_pos_SWATH-PH697043	PCV_PH697053_pos_SWATH_2-PH697053	PCV_PH697071_pos_SWATH-PH697071	CNV_PH697072_pos_SWATH-PH697072	CNV_PH697073_pos_SWATH-PH697073	PCV_PH697085_pos_SWATH-PH697085_pos_SWATH	CNV_PH697097_pos_SWATH-PH697097	PCV_PH697098_pos_SWATH-PH697098	PCV_PH697111_pos_SWATH-PH697111	PCV_PH697115_pos_SWATH-PH697115_pos_SWATH	CNV_PH697119_pos_SWATH_2-PH697119	CNV_PH697122_pos_SWATH-PH697122	CNV_PH697129_pos_SWATH-PH697129	CNV_PH697140_pos_SWATH-PH697140_pos_SWATH	PCV_PH697141_pos_SWATH-PH697141	CNV_PH697146_pos_SWATH-PH697146_pos_SWATH	PCV_PH697154_pos_SWATH-PH697154_pos_SWATH	CNV_PH697159_pos_SWATH-PH697159	PCV_PH697165_pos_SWATH-PH697165_pos_SWATH	CNV_PH697172_pos_SWATH-PH697172	PCV_PH697182_pos_SWATH-PH697182	CNV_PH697184_pos_SWATH_2-PH697184	PCV_PH697186_pos_SWATH-PH697186	PCV_PH697187_pos_SWATH-PH697187	PCV_PH697206_pos_SWATH-PH697206_pos_SWATH	CNV_PH697211_pos_SWATH-PH697211	CNV_PH697215_pos_SWATH-PH697215	CNV_PH697217_pos_SWATH-PH697217	PCV_PH697247_pos_SWATH-PH697247_pos_SWATH	CNV_PH697253_pos_SWATH-PH697253	PCV_PH697257_pos_SWATH-PH697257	CNV_PH697272_pos_SWATH-PH697272	PCV_PH697285_pos_SWATH-PH697285	CNV_PH697287_pos_SWATH-PH697287_pos_SWATH	CNV_PH697289_pos_SWATH-PH697289	CNV_PH697291_pos_SWATH-PH697291	CNV_PH697338_pos_SWATH_2-PH697338	RT
0_C12H24N2O7_[M+H]+	9086.69	5660.82	5396.81	5458.66	5366.19	1984.48	7269.38	7853.1	8393.82	5069.77	4809.93	5142.9	10698.6	4766.93	12256.4	5477.57	13055.6	6902.73	14734.0	5924.43	11779.3	10225.7	1732.37	8771.21	1935.02	7778.61	6129.81	13503.6	3835.9	6401.35	203.843	4733.03	3871.27	11463.4	2246.08	3998.62	14549.0	1040.41	320.041	4863.98	3995.39	9927.82	7679.44	4929.72	3800.61	9601.38	7900.75	9059.82	6704.15	8835.03	8334.14	25119.6	7333.67	10536.6	6958.2	8189.88	16210.6	3794.96	7414.38	7023.35	36.1636546875
1000_C6H13NO3_[M+H]+	1482.04	3975.15	3133.34	27810.7	2084.59	38709.3	2254.58	2926.07	27919.2	34216.5	2241.41	2580.3	22902.5	712.643	4411.85	43173.7	1350.16	52134.6	4667.48	3233.24	65033.7	26192.1	539.6990000000001	26666.3	23300.3	16096.8	26286.0	4361.24	2739.46	4437.05	21039.0	2448.25	7787.03	66563.1	36689.4	22427.1	4371.39	28009.2	3476.66	1276.77	3821.78	5950.78	41878.8	27726.1	37751.1	1059.77	46645.6	1936.36	3057.32	20915.9	2122.48	59401.3	1116.97	5125.9	4255.31	28781.9	1654.51	22121.5	42428.4	5479.09	71.5035328125
1002_C11H14NO7_[M+H]+	3555.58	13908.1	28356.0	5510.62	7145.51	8019.15	5734.78	5787.47	8839.79	61934.1	12601.0	10299.9	16336.2	4724.99	11113.5	6513.95	17098.9	9904.58	2867.49	20019.7	102452.0	12402.4	3119.74	6555.42	4534.77	15586.4	39241.9	8735.84	8196.17	38092.9	17303.7	30491.4	28921.9	25698.3	20641.6	13406.9	26668.4	25860.3	81268.8	20011.6	7195.46	7772.11	13173.8	15375.4	46945.5	23725.0	11868.3	28436.1	24448.0	10982.3	32923.3	11079.3	31801.9	14486.7	24617.9	41850.5	24986.2	20032.9	31153.9	28839.0	76.96705156249999
1004_C24H39NO3_[M+H]+	18561.2	39997.1	6246.67	21379.7	21010.1	5836.83	42548.6	4909.26	23508.1	983.367	1759.06	15143.9	42102.7	10200.0	4706.05	10878.4	42017.8	492.115	33433.0	2735.42	14716.1	15060.1	868.8789999999999	38688.7	56477.3	925.622	136113.0	11883.4	75751.3	5670.88	5846.04	9396.47	397.964	6227.53	19928.5	824.655	256.06	7433.95	15785.0	21672.2	2879.03	36990.1	13968.8	18119.0	2700.44	67709.8	2789.94	24307.6	13439.2	4049.32	8701.27	12526.8	2817.29	132979.0	4449.77	18726.4	2255.7	12804.9	25797.9	18171.3	735.39221875
1006_C24H36O2_[M+H]+	34886.9	26826.1	9562.3	24488.4	13021.4	12316.9	123386.0	15420.5	14702.2	18468.4	21270.3	6768.24	26512.8	13584.8	101527.0	14097.2	25455.8	16853.4	24289.9	5746.46	36408.5	18499.4	47499.4	19205.6	30481.2	56925.6	20480.2	13371.4	13637.8	18272.2	38735.8	15220.6	13030.6	21673.1	26368.5	14398.0	39114.0	22951.2	69764.7	42156.6	5195.65	15752.9	16684.1	11472.1	83936.7	16284.7	10618.3	16822.2	7431.99	8434.82	38994.2	15232.7	4298.93	43437.1	24267.4	32004.8	5337.23	5246.51	14366.5	34277.6	844.6453437499999
1008_C23H46NO7P_[M+H]+	398973.0	231279.0	250425.0	284185.0	505328.0	421973.0	324629.0	355808.0	550461.0	1819.02	195272.0	40021.0	294208.0	72915.0	352603.0	455122.0	20182.1	302692.0	274422.0	331245.0	473531.0	528886.0	487204.0	413278.0	472818.0	410822.0	13270.4	246877.0	343827.0	24082.8	682486.0	408398.0	329972.0	332662.0	23744.1	388379.0	343470.0	342196.0	338176.0	422827.0	326624.0	330536.0	241937.0	47134.2	361912.0	267827.0	397423.0	374958.0	523895.0	194316.0	219583.0	40999.6	34902.3	355674.0	357118.0	52367.6	522344.0	15322.2	303466.0	327655.0	918.7288437499999
1010_C26H50NO9P_[M+H]+	3579.5	6333.67	4187.14	10852.6	2718.54	7530.19	14470.0	7731.76	8258.44	12440.9	6286.46	2151.89	13237.8	168.00408172607402	12264.7	12812.4	8964.56	7843.65	16735.7	10779.0	14125.3	10341.5	2427.31	9603.24	16783.6	11267.2	32337.5	122118.0	20932.7	13931.4	14574.4	18682.5	2348.69295394263	13267.8	20710.9	1872.81	26441.4	1955.44	4521.72	14819.4	4242.92	11093.1	8611.67	15271.1	10717.4	21866.7	3859.65	941.389289856055	15746.5	3021.15	14146.8	12096.6	28192.9	6001.51	3199.89	13793.9	23450.8	206303.0	27364.0	17307.3	778.433125
1012_C24H38O3_[M+H]+	46146.0	4258.58	10149.4	36255.6	40167.8	16593.9	104434.0	13300.1	10891.8	32370.5	17571.1	11238.7	24982.3	8666.53	112735.0	35733.8	19965.0	15580.4	40408.7	10520.8	42397.4	10730.3	68499.1	31425.6	33445.5	85156.6	19933.5	5206.38	4192.54	9432.62	46563.5	15048.9	27944.0	14719.9	31281.0	35489.3	42748.3	23693.5	67064.6	17449.0	10334.9	40583.7	9779.95	19838.7	76173.6	3542.18	6483.82	23469.8	14781.4	12452.4	9220.65	133412.0	7723.28	57858.2	32445.7	15636.9	29962.1	8167.85	19532.2	41579.3	839.127203125
1014_C23H41NO4_[M+H]+	2523.51	5418.33	4711.0	4119.14	6788.91	5942.02	1151.9666328430199	3848.85	3190.43	4107.74	7331.15	3070.49	4085.45	3416.87	8734.3	2775.59	10971.0	4045.1	1256.97989654541	3284.77	4114.02	3682.62	6320.08	2287.15	10890.0	6994.14	5355.4	6608.33	67392.7	2881.79	5933.05	7150.97	4326.91	15421.9	3591.4	5103.98	5991.57	2741.25	5581.95	5965.0	3682.57	7207.56	2794.63	9888.89	120252.0	1653.16	880.4010000000001	6192.23	22222.9	3510.66	3062.55	4199.89	2922.55	82229.6	3165.71	8364.18	79976.9	3296.1	6015.15	3869.42	803.666875
1016_C46H90NO11P_[M+H]+	106905.0	91099.3	174952.0	122253.0	97265.5	101568.0	108887.0	100019.0	106179.0	140717.0	140740.0	96005.8	102819.0	109766.0	93642.3	106516.0	142661.0	98226.8	93255.6	85533.6	98936.3	167608.0	77060.5	93442.2	123888.0	123415.0	264731.0	179211.0	79083.9	105447.0	126193.0	122572.0	107747.0	1709.48322388219	146236.0	145889.0	140678.0	103606.0	111865.0	173123.0	148183.0	164558.0	132545.0	2273.79519653303	3684.7224979668895	1046.86294638037	106223.0	783.992092132568	1633.50784366228	2124.83973470218	1604.6583235359399	392.007522583008	4744.59047467236	1376.3572333199402	3578.7974107602795	8560.911008121178	4303.51070162917	619.005840301514	1510.45	2438.01	919.121703125
