Protein	ctrl_CS52684_pos_SWATH-CS52684	ctrl_CS53088_pos_SWATH-CS53088	ctrl_CS53236_pos_SWATH-CS53236	ctrl_CS53827_pos_SWATH-CS53827	ctrl_CS53970_pos_SWATH-CS53970	ctrl_CS55606_pos_SWATH-CS55606	ctrl_CS55847_pos_SWATH-CS55847	ctrl_CS56148_pos_SWATH-CS56148	ctrl_CS56182_pos_SWATH-CS56182	ctrl_CS56422_pos_SWATH-CS56422	ctrl_CS56891_pos_SWATH-CS56891	ctrl_CS57315_pos_SWATH-CS57315_pos_SWATH	ctrl_CS58504_pos_SWATH-CS58504	ctrl_CS60089_pos_SWATH_2-CS60089_pos_SWATH	ctrl_CS60106_pos_SWATH-CS60106_pos_SWATH	ctrl_CS60365_pos_SWATH-CS60365	ctrl_CS60557_pos_SWATH-CS60557	ctrl_CS60976_pos_SWATH-CS60976	ctrl_CS61323_pos_SWATH-CS61323	ctrl_CS61791_pos_SWATH-CS61791	PCV_PH697021_pos_SWATH-PH697021	PCV_PH697025_pos_SWATH-PH697025	PCV_PH697026_pos_SWATH-PH697026	PCV_PH697043_pos_SWATH-PH697043	PCV_PH697053_pos_SWATH_2-PH697053	PCV_PH697071_pos_SWATH-PH697071	CNV_PH697072_pos_SWATH-PH697072	CNV_PH697073_pos_SWATH-PH697073	PCV_PH697085_pos_SWATH-PH697085_pos_SWATH	CNV_PH697097_pos_SWATH-PH697097	PCV_PH697098_pos_SWATH-PH697098	PCV_PH697111_pos_SWATH-PH697111	PCV_PH697115_pos_SWATH-PH697115_pos_SWATH	CNV_PH697119_pos_SWATH_2-PH697119	CNV_PH697122_pos_SWATH-PH697122	CNV_PH697129_pos_SWATH-PH697129	CNV_PH697140_pos_SWATH-PH697140_pos_SWATH	PCV_PH697141_pos_SWATH-PH697141	CNV_PH697146_pos_SWATH-PH697146_pos_SWATH	PCV_PH697154_pos_SWATH-PH697154_pos_SWATH	CNV_PH697159_pos_SWATH-PH697159	PCV_PH697165_pos_SWATH-PH697165_pos_SWATH	CNV_PH697172_pos_SWATH-PH697172	PCV_PH697182_pos_SWATH-PH697182	CNV_PH697184_pos_SWATH_2-PH697184	PCV_PH697186_pos_SWATH-PH697186	PCV_PH697187_pos_SWATH-PH697187	PCV_PH697206_pos_SWATH-PH697206_pos_SWATH	CNV_PH697211_pos_SWATH-PH697211	CNV_PH697215_pos_SWATH-PH697215	CNV_PH697217_pos_SWATH-PH697217	PCV_PH697247_pos_SWATH-PH697247_pos_SWATH	CNV_PH697253_pos_SWATH-PH697253	PCV_PH697257_pos_SWATH-PH697257	CNV_PH697272_pos_SWATH-PH697272	PCV_PH697285_pos_SWATH-PH697285	CNV_PH697287_pos_SWATH-PH697287_pos_SWATH	CNV_PH697289_pos_SWATH-PH697289	CNV_PH697291_pos_SWATH-PH697291	CNV_PH697338_pos_SWATH_2-PH697338	RT
0_C12H23NO5_[M+H]+	7483.86	5413.46	2622.57	14070.6	2631.01	3371.57	4260.29	4947.58	4627.79	6520.78	4640.486880697849	5322.5	6352.9	3916.72	8708.76	4408.33	5928.49	8225.53	6011.96	4447.38	6828.79	5489.75	5481.08	3209.52	4755.75	6117.06	13495.9	3517.33	12478.5	5327.44	10208.6	5323.4	5595.52	8193.63	13121.4	5005.59	10220.0	2838.19	10071.4	12089.9	2611.94	5812.12	13856.8	8061.57	5930.61	7882.97	2875.18	7695.65	6298.4	8938.68	5949.79	8389.92	7632.0	142.299	7565.74	4217.82	7362.24	9565.09	6485.22	9270.44	128.97371875
1000_C16H34O9_[M+H]+	1787.0098915099697	1314.47520637513	2953.9596939087	2298.12	505.02917549202004	1478.0	851.166	3037.85	1504.09	2428.01	5107.81	956.518654010905	1418.85	1449.26	2775.04	324.129	2125.86	777.693600506841	398.468	2210.24	423.715434385993	2474.55	2012.29	1085.99359848479	2374.7921578588603	1780.85715387909	4658.01	819.638	1542.54915994112	2157.53	1145.7194382318198	700.058704517485	391.01057392535796	455764.0	2724.75	1210.64	308.353703628345	1116.98168820674	458.0	111.38869166111401	336.789	690.087	1231.97603225709	345070.0	265569.0	31082.4	669.997678676122	45890.4	216176.0	190605.0	372057.0	154973.0	91304.0	144241.0	136382.0	280991.0	295062.0	275704.0	193905.0	121099.0	631.4258125
1002_C27H40O11_[M+H]+	31278.2	16956.2	18322.6	31611.6	36271.1	23226.1	23429.4	38126.4	24329.0	48221.2	37972.0	19147.9	42191.7	23668.1	53529.6	43843.8	33884.8	31838.8	30332.5	27936.9	38301.2	47410.9	23249.8	28193.3	14298.1	24603.5	21083.1	89847.8	16927.4	22034.1	17323.5	33308.9	15487.8	58447.5	62185.0	24945.6	40237.7	50938.0	31366.6	22381.3	20237.3	46382.5	28093.7	19758.0	11390.0	26989.5	13345.9	29680.2	13573.0	106951.0	44333.8	28904.8	35756.0	36983.5	30915.2	24701.0	26513.2	27097.4	28339.8	39290.0	639.4771250000001
1004_C25H31NO9_[M+H]+	424108.0	11702.8	4628.04	34731.3	19690.4	1156.7	6347.02	21094.0	12980.5	14256.9	29094.0	20465.6	49079.5	22492.0	13925.9	7394.27	13174.8	36448.4	6644.14	38637.3	60398.9	19361.4	46813.4	15522.0	10676.2	45556.9	26901.4	4727.01	159307.0	24492.4	17812.9	19888.7	25233.9	608.552	33683.7	13108.5	13528.1	13282.0	50297.7	4333.08	41797.5	97020.8	10225.6	20889.3	1348.1	10990.8	11174.2	4693.99	5693.87	4785.87	10207.7	7392.92	3969.41	23490.8	12037.7	66751.2	105039.0	34187.6	24555.5	5734.84	686.050546875
1006_C28H55AsO5_[M+H]+	1591.41	1377.39	1562.4995580494	1345.57	1989.11	457.088	2458.04	2070.1	834.266758244205	1590.24	560.110970590634	944.917765268461	1984.95	1411.64	1030.9458530705099	3029.42	341.292	1905.46	1010.41686577889	923.4854869842529	1294.26055126654	1059.81270195456	1715.44	1986.54	2280.88	1727.46	2632.69	1743.51404380798	2592.58	1678.82	1312.19	2679.88	1277.11	125074.0	2162.56	1472.36	2385.91	2176.62	994.748	1285.37	1621.86	1571.4	476.468966249563	206437.0	259111.0	89958.8	1512.51	101421.0	138560.0	446828.0	125299.0	69397.5	78737.2	67768.8	123697.0	137924.0	77803.2	134804.0	121208.0	107862.0	532.00296875
1008_C26H50NO7P_[M+K]+	56.000640869140604	0.0	170.735	56.000640869140604	101.36	56.000640869140604	56.000640869140604	56.000640869140604	0.0	0.0	112.00183868408199	0.0	0.0	56.000640869140604	0.0	0.0	0.0	0.0	111.99959564209	111.99959564209	56.896		0.0	0.0	0.0	72.9083	85.3324911934961	0.0	56.896	0.0	112.00183868408199	56.000640869140604	16.044	0.0	0.0	0.0	56.896	56.000640869140604	0.0	0.0	85.344	112.00183868408199	56.000640869140604	56.000919342040994	0.0	56.000919342040994	0.0	56.896	0.0	56.924	56.000640869140604	56.000640869140604	0.0	0.0	56.000640869140604	0.0	0.0	56.000919342040994	0.0	112.00128173828101	627.6502607359514
100_C10H18N2O5_[M+H]+	2593.07	4679.29	3047.91	4239.38	4127.3	2880.86	4454.44	5159.25	5796.42	4474.76	5955.72	2691.21	6093.77	1960.67	4615.02	3439.17	2674.08	6130.65	4240.24	2493.92	16007.8	34515.9	7254.38	22509.2	12173.7	7964.35	9326.8	7666.09	6235.38	1768.19	6787.83	14165.8	1093.47	11463.5	8631.15	10178.5	1684.26	4348.15	4668.47	4739.28	3912.74	7575.64	3953.3	8712.38	5989.37	10829.8	1448.6	1618.27	5389.81	5307.51	5106.37	13039.4	11128.1	7400.91	5362.71	19095.6	23044.5	24647.2	18165.8	7568.34	149.04315624999998
1010_C28H54NO8P_[M+H]+	8710.38	8953.15	11916.7	8515.01	13296.2	11196.7	12457.2	17956.4	11074.8	10823.5	7814.5	7367.77	9197.04	9902.13	9000.16	19508.6	7869.31	10786.6	10416.7	11041.0	7890.61788628807	10983.4	10303.1	12658.7	14139.9	6634.63	12081.1	11419.3	11260.6	9533.81	7384.16	17997.4	4628.46	494850.0	14509.6	14302.8	8356.85	10322.4	9357.7	6956.89	10015.0	7870.19	8805.23	700077.0	738122.0	354219.0	6527.23	456578.0	572905.0	1111370.0	455271.0	370149.0	361965.0	301600.0	491669.0	551506.0	317355.0	557588.0	486258.0	503271.0	534.16025
1014_C30H58NO8P_[M+H]+	809.5989999999999	223.999893188477	1575.69	1945.58	1478.53	510.974	1390.0	2088.24	1365.87	1235.04	539.188	56.896	531.346655527756	426.18800000000005	4627.08	2385.76	1166.37	280.004928588867	1320.61	1478.99	670.990653991699	955.569	993.49	1538.04	1662.87	796.5160000000001	1375.16	1093.77	441.31800000000004	1563.28	1208.8	2950.28	4558.58	49291.0	1689.4	1222.65	6317.13	1335.55	1976.82	896.71	799.187	447.98744964599604	983.8860000000001	70533.2	43806.7	28587.2	284.16700000000003	46735.2	57826.4	93240.6	45081.9	44170.6	38132.7	26410.4	46656.4	60691.0	20217.3	51381.3	44457.1	40717.7	534.6347812500001
1016_C23H45N5O5S_[M+H]+	9038.63	3195.89	9781.56	12132.2	16086.4	5379.49	17622.5	15545.7	6828.83	10033.1	4500.0	2363.04	7173.59	1961.6	3142.57	9225.31	12849.2	6480.56	12027.3	5818.81	5253.13	6035.58	3584.47	18059.0	22716.3	4577.8	4774.93	5583.9	3010.16	10477.4	7148.53	16492.0	698.872	94021.3	18255.6	13102.3	4284.76	3555.52	3570.97	2161.21	4451.07	2776.64	7084.09	152219.0	244118.0	109407.0	2918.02	118816.0	150157.0	78037.7	97816.9	99829.8	114044.0	83657.8	153308.0	154746.0	91679.9	143169.0	113162.0	146170.0	644.359578125
