Row.names	Control	CNV	PCV	Row.names.y	label.CNV	label.PCV	label.both	sum_formula	compound_name	logFC.PCV	AveExpr.PCV	t.PCV	P.Value.PCV	adj.P.Val.PCV	B.PCV	label.PCV	logFC.CNV	AveExpr.CNV	t.CNV	P.Value.CNV	adj.P.Val.CNV	B.CNV	label.CNV	FC_ctrl_CNV	FC_ctrl_PCV
0_C12H23NO5_[M+H]+	5695.628344	8020.982	6274.67945	0_C12H23NO5_[M+H]+	Not significant	Not significant	Not significant	C12H23NO5	hydroxyisovaleroylcarnitine3-(3-hydroxy-3-methylbutanoyl)oxy-4-(trimethylazaniumyl)butanoate3-hydroxy-3-isovaleryloxy-4-(trimethylammonio)butyrate	0.066794656	12.49026738	0.227027236	0.821200192	0.910589209	-7.13053361	Not significant	-0.475073421	12.49026738	-1.593883124	0.116393116	0.306523917	-5.88693206	Not significant	1.408269907	1.101665887
100_C10H18N2O5_[M+H]+	4087.3565	8748.1355	10375.792	100_C10H18N2O5_[M+H]+	Not significant	ControlVsPCV	ControlvsPCV	C10H18N2O5	L-beta-aspartyl-L-leucinegamma-GlutamylvalineAspartyl-IsoleucineAspartyl-LeucineGlutamylvalineIsoleucyl-AspartateLeucyl-AspartateValyl-Glutamate	-0.962469748	12.48472127	-3.115653094	0.002851495	0.034780739	-2.62061192	ControlVsPCV	-0.739451217	12.48472127	-2.362822138	0.021507954	0.084842015	-4.449854985	Not significant	2.140291775	2.538509181
1000_C16H34O9_[M+H]+	1785.078961	131376.6343	50938.38956	1000_C16H34O9_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C16H34O9	Octaethyleneglycol	-1.453526543	12.13333162	-1.484916212	0.142976463	0.354382838	-6.062556734	Not significant	-3.56581425	12.13333162	-3.595813783	0.000668465	0.005599254	-1.246623929	ControlVsCNV	73.59709974	28.53565062
1002_C27H40O11_[M+H]+	31805.895	38131.89	27958.455	1002_C27H40O11_[M+H]+	Not significant	Not significant	Not significant	C27H40O11	Tetrahydroaldosterone-3-glucuronide(2S3S4R5R6R)-345-trihydroxy-6-{(2S14S16S)-18-hydroxy-2-(2-hydroxyacetyl)-14-methyl-17-oxapentacyclo14.2.1.0^{15}.0^{615}.0^{914}nonadecan-11-yloxy}oxane-2-carboxylicacid	0.224958006	14.84788546	1.08557759	0.282153596	0.543776265	-6.566764811	Not significant	-0.116809759	14.84788546	-0.556413983	0.58006658	0.766402918	-6.987587355	Not significant	1.19889379	0.879033745
1004_C25H31NO9_[M+H]+	39402.5785	21346.5026	34029.5195	1004_C25H31NO9_[M+H]+	Not significant	Not significant	Not significant	C25H31NO9	UNKNOWN_477	-0.346622726	13.96594695	-0.678538895	0.500126271	0.713257005	-6.924726278	Not significant	0.618300772	13.96594695	1.194749882	0.237043471	0.477694125	-6.430883843	Not significant	0.541753951	0.863636868
1006_C28H55AsO5_[M+H]+	1420.917663	87707.61655	34868.95766	1006_C28H55AsO5_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C28H55AsO5	(2E)-371115-tetramethylhexadec-2-en-1-yl-2-methoxy-5-deoxy-5-(dimethylarsinyl)-beta-D-ribofuranoside	-2.215843918	12.22869195	-2.749820344	0.007936791	0.070092717	-3.564256643	Not significant	-3.714299324	12.22869195	-4.549896827	2.79E-05	0.001174924	1.79694395	ControlVsCNV	61.72603722	24.53974539
1010_C28H54NO8P_[M+H]+	10890.1925	309450.2695	143484.3339	1010_C28H54NO8P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C28H54NO8P	1-(9E-octadecenoyl)-2-acetyl-sn-glycero-3-phosphocholine1-(9Z-octadecenoyl)-2-acetyl-sn-glycero-3-phosphocholine1-acetyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	-1.465470644	14.81745472	-2.067475549	0.043156943	0.160863772	-5.071804983	Not significant	-2.97392149	14.81745472	-4.141448382	0.000113292	0.001905999	0.446103307	ControlVsCNV	28.41550041	13.17555534
1014_C30H58NO8P_[M+H]+	1271.797824	27391.51915	14793.42341	1014_C30H58NO8P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C30H58NO8P	1-(9Z-octadecenoyl)-2-butyryl-sn-glycero-3-phosphocholine1-butyryl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	-1.822696434	11.49674904	-2.530098242	0.014138263	0.09780724	-4.087461983	Not significant	-3.34983775	11.49674904	-4.589932597	2.42E-05	0.001152014	1.932678846	ControlVsCNV	21.53763644	11.63189866
1016_C23H45N5O5S_[M+H]+	8559.314	74863.441	40883.1416	1016_C23H45N5O5S_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C23H45N5O5S	UNKNOWN_480	-0.793479336	13.76213565	-1.286784927	0.203277141	0.44234251	-6.331215789	Not significant	-2.108700318	13.76213565	-3.375551218	0.001318899	0.008671057	-1.887588269	ControlVsCNV	8.746430029	4.77645073
1017_C25H52O12_[M+H]+	7161.940347	48338.76487	27373.18007	1017_C25H52O12_[M+H]+	Not significant	Not significant	Not significant	C25H52O12	UNKNOWN_480	-0.522447535	12.93321229	-0.701017539	0.486092756	0.707390871	-6.90917613	Not significant	-1.8456836	12.93321229	-2.444572644	0.017559579	0.074327531	-4.269286287	Not significant	6.74939507	3.822034078
